"ID","APPLICATION_NAME","ATTACHMENT_NAME","DATE","MODULE_ID"
"50","MPO-IndexCorrection","নিয়োগ পত্র","2017-02-14","1"
"51","MPO-IndexCorrection","যোগদান পত্র","2017-02-14","1"
"52","MPO-IndexCorrection","নিয়োগ পরীক্ষার ফলাফলশীট","2017-02-14","1"
"53","MPO-IndexCorrection","নিয়োগ বিজ্ঞপ্","2017-02-14","1"
"54","MPO-IndexCorrection","ইএম আইএস সেলের মতামত","2017-02-14","1"
"55","MPO-NameCancellation","সভাপতির মতামতসহ অগ্রায়ন পত্","2017-02-14","1"
"56","MPO-NameCancellation","অধ্যক্ষের অগ্রায়ন পত্র","2017-02-14","1"
"57","MPO-NameCancellation","পদত্যাগ জনিত কারণে (পদত্যাগ জনিত নাম কর্তনের রেজুলেশন এবং পদত্যাগ পত্র )","2017-02-14","1"
"58","MPO-NameCancellation","মৃত জনিত কারণে (পৌরসভা চেয়ারম্যান কর্তৃক মৃত্যু সনদ / মৃত্যু সার্টিফিকেট (ডাক্তার কর্তৃক), মৃত্যু  জনিত কারণে নাম কর্তনের রেজুলেশন )","2017-02-14","1"
"59","MPO-NameCancellation","বহিস্কার জনিত কারণে ( সংশ্লিষ্ট বোর্ড কর্তৃক চূড়ান্ত বরখাস্ত পত্র এবং নাম কর্তনের জন্য রেজুলেশন)","2017-02-14","1"
"60","MPO-ExClassOpen","অধ্যক্ষের মতামতসহ আবেদন","2017-02-14","1"
"61","MPO-ExClassOpen","উপজেলা নির্বাহী অফিসারের হালনাগাদ পরিদর্শন প্রতিবেদন","2017-02-14","1"
"62","MPO-ExClassOpen","সংশ্লিষ্ট বোর্ড কর্তৃক বিদ্যালয় পরিদর্শক এর হালনাগাদ পরিদর্শন প্রতিবেদন","2017-02-14","1"
