name,location,date_from,date_to,duration,employee_id,institute_id
Customer Service,Ap #197-3729 Mauris St.,2016-03-08 ,2015-06-03,3,6,1
Legal Department,369-9550 Adipiscing Road,2016-09-03 ,2016-02-29,10,6,2
Sales and Marketing,Ap #298-7063 Lorem Avenue,2015-10-25 ,2015-07-28,8,2,1
Public Relations,102-3004 Mattis St.,2016-03-22 ,2016-04-11,1,1,2
Accounting,"Ap #513-3274 Ultrices, Avenue",2015-04-14 ,2016-05-06,5,4,2
Finances,"P.O. Box 475, 9892 Tellus Street",2015-07-19 ,2016-10-18,9,3,2
Sales and Marketing,439-2335 Mi Road,2015-12-06 ,2016-02-26,1,2,1
Customer Relations,"P.O. Box 378, 9458 Semper Av.",2016-10-31 ,2015-08-19,10,4,1
Media Relations,"P.O. Box 432, 6141 Tempor Avenue",2015-06-21 ,2014-12-04,7,3,2
Human Resources,"743-8774 Eget, Rd.",2016-08-04 ,2015-12-14,3,6,1
Finances,365-4779 Justo. Road,2016-08-15 ,2016-04-09,8,5,1
Research and Development,"P.O. Box 218, 491 Laoreet St.",2015-02-01 ,2016-09-29,10,4,2
Legal Department,Ap #517-8868 Dis Rd.,2015-05-26 ,2016-05-31,9,5,1
Sales and Marketing,Ap #448-8199 Massa. St.,2015-10-10 ,2015-04-26,5,4,2
Customer Relations,"P.O. Box 101, 7396 Consequat St.",2016-10-21 ,2015-08-22,2,2,1
Human Resources,993-1710 Tellus Ave,2015-08-18 ,2016-11-01,10,4,2
Customer Service,671-249 Nec Street,2016-01-19 ,2016-11-07,6,6,1
Accounting,902-3192 Vitae Rd.,2016-02-25 ,2016-05-24,9,2,1
Quality Assurance,1104 Augue Av.,2015-05-26 ,2016-06-17,1,3,2
Customer Relations,"P.O. Box 969, 4358 A Rd.",2016-04-04 ,2016-04-02,3,1,1
Sales and Marketing,Ap #532-1370 Lobortis Rd.,2016-03-19 ,2015-01-10,5,4,1
Customer Relations,"P.O. Box 887, 3792 Duis St.",2016-09-04 ,2016-07-22,8,6,1
Tech Support,"P.O. Box 220, 8171 Dolor. Ave",2015-09-07 ,2016-11-05,8,2,1
Customer Relations,Ap #770-547 Ut Road,2015-05-20 ,2015-01-03,5,6,2
Public Relations,1709 Nunc Av.,2014-12-04 ,2015-05-28,5,6,1
Customer Service,Ap #377-3395 Lorem Ave,2015-02-08 ,2015-12-17,2,6,1
Human Resources,Ap #559-7110 Felis Av.,2016-09-24 ,2015-01-11,4,4,1
Quality Assurance,Ap #842-8431 Mauris Road,2016-05-16 ,2015-07-03,2,1,1
Accounting,658-2567 Purus. St.,2015-11-23 ,2014-11-10,1,1,2
Research and Development,"P.O. Box 611, 1496 Dictum Av.",2015-06-25 ,2015-07-25,6,5,2
Sales and Marketing,"P.O. Box 833, 4393 Aliquet St.",2015-07-28 ,2015-04-05,1,2,1
Public Relations,"P.O. Box 865, 3111 Mi. St.",2016-07-01 ,2014-12-29,9,1,1
Tech Support,Ap #897-4954 Nunc Rd.,2015-03-26 ,2015-02-22,10,1,2
Customer Service,"208-1754 Eu, St.",2016-06-09 ,2015-07-24,8,2,1
Legal Department,9349 Nisi Street,2016-10-18 ,2015-04-01,4,4,2
Tech Support,Ap #472-7671 Magna. Rd.,2016-01-18 ,2014-11-12,9,1,1
Quality Assurance,383-8834 Turpis St.,2016-03-23 ,2016-06-22,2,1,1
Customer Service,Ap #712-4255 Velit. St.,2015-07-24 ,2015-03-31,8,1,2
Customer Relations,3087 Tincidunt St.,2015-05-27 ,2016-03-20,5,3,2
Public Relations,"P.O. Box 208, 1776 Taciti St.",2015-03-03 ,2015-01-06,10,4,2
Asset Management,2683 Proin Av.,2015-04-18 ,2015-03-29,3,2,2
Advertising,"P.O. Box 760, 2699 Mollis Rd.",2016-10-15 ,2014-11-28,9,4,1
Advertising,"Ap #349-2831 Consequat, Rd.",2015-03-09 ,2015-08-22,7,6,2
Tech Support,Ap #196-5142 Sed St.,2016-05-07 ,2015-09-29,6,4,2
Customer Service,Ap #581-4877 Etiam St.,2015-10-05 ,2016-08-29,2,1,1
Asset Management,988-7982 Nascetur Rd.,2014-12-06 ,2016-03-20,6,1,1
Human Resources,Ap #187-9387 Lacus. St.,2016-09-13 ,2015-01-10,3,1,2
Tech Support,Ap #217-1557 Eros St.,2016-10-31 ,2016-05-06,8,3,2
Advertising,Ap #466-2872 Dignissim. St.,2015-12-13 ,2015-04-14,2,6,1
Sales and Marketing,656-2030 Tempor Av.,2016-08-23 ,2016-01-08,8,5,1
Tech Support,638-9780 Amet St.,2015-03-09 ,2015-08-06,1,5,2
Media Relations,"P.O. Box 681, 6866 Arcu. Ave",2015-01-31 ,2016-08-13,2,5,1
Payroll,3976 Sed Road,2016-05-02 ,2016-07-03,2,5,2
Accounting,844-7022 Aenean Avenue,2014-12-28 ,2014-11-10,2,1,1
Customer Service,963-7463 Euismod Road,2015-06-01 ,2016-08-25,6,2,1
Sales and Marketing,Ap #943-644 Sit Road,2015-12-08 ,2015-06-10,2,6,2
Quality Assurance,"9633 Tempus, Avenue",2015-04-07 ,2014-11-18,3,3,2
Public Relations,Ap #701-7036 Auctor Ave,2016-09-27 ,2016-10-05,1,1,1
Customer Relations,731-3301 Hendrerit. Rd.,2016-09-09 ,2014-11-08,4,4,2
Media Relations,Ap #397-2010 Ultricies Rd.,2015-06-02 ,2015-04-22,10,5,1
Sales and Marketing,"P.O. Box 257, 8639 Tempus St.",2015-09-14 ,2015-12-11,4,2,1
Accounting,371-5763 Enim. Avenue,2015-05-29 ,2016-06-08,9,3,2
Legal Department,"P.O. Box 769, 2866 Accumsan Ave",2015-10-08 ,2015-11-01,6,4,2
Legal Department,Ap #928-8606 Sodales. Rd.,2016-04-20 ,2016-07-27,4,6,2
Advertising,Ap #550-5347 Mattis Road,2016-09-06 ,2016-07-19,4,5,1
Human Resources,"P.O. Box 424, 2514 Duis Av.",2014-12-27 ,2015-11-01,4,3,1
Legal Department,"P.O. Box 564, 3090 Gravida Road",2015-10-08 ,2016-08-17,9,2,2
Quality Assurance,1416 Enim. Street,2016-09-12 ,2016-06-28,9,5,2
Sales and Marketing,Ap #942-714 Vehicula. Ave,2015-10-05 ,2015-07-11,3,1,1
Accounting,Ap #500-8440 Pellentesque Rd.,2015-05-18 ,2015-06-23,8,6,1
Advertising,7291 Fringilla Av.,2015-06-19 ,2016-08-30,1,6,2
Customer Service,"P.O. Box 709, 9052 Posuere Rd.",2016-02-18 ,2015-11-21,7,3,2
